freq,B,C,D-1,D-2
1253.504,95.8152,99.047,98.5311,98.1148
1254.468,95.7801,99.0068,98.457,98.0333
1255.432,95.7469,98.9712,98.379,97.9488
1256.396,95.7082,98.9391,98.2956,97.8598
1257.36,95.6549,98.909,98.2062,97.7655
1258.325,95.5768,98.8796,98.1102,97.6652
1259.289,95.4633,98.8508,98.0068,97.5575
1260.253,95.3053,98.8238,97.8937,97.4403
1261.217,95.0957,98.7999,97.7671,97.3096
1262.182,94.8307,98.7798,97.6217,97.1606
1263.146,94.5097,98.7624,97.4516,96.9876
1264.11,94.1358,98.7452,97.2514,96.7854
1265.074,93.7173,98.7243,97.0168,96.55
1266.039,93.2696,98.6963,96.7454,96.2784
1267.003,92.8173,98.6586,96.4361,95.9698
1267.967,92.3959,98.6095,96.0901,95.625
1268.931,92.0493,98.5479,95.7115,95.2477
1269.896,91.8248,98.4722,95.3077,94.8458
1270.86,91.7638,98.3806,94.891,94.431
1271.824,91.8921,98.2719,94.4771,94.0191
1272.788,92.2116,98.1461,94.0837,93.6271
1273.752,92.6987,98.0061,93.7267,93.2702
1274.717,93.3078,97.8575,93.4166,92.9582
1275.681,93.9804,97.7082,93.1553,92.6922
1276.645,94.6559,97.5661,92.9349,92.4639
1277.609,95.2818,97.4377,92.7384,92.2562
1278.574,95.8206,97.3266,92.5421,92.0454
1279.538,96.2528,97.2328,92.3187,91.8047
1280.502,96.5757,97.1537,92.0415,91.5077
1281.466,96.7993,97.0845,91.6864,91.1314
1282.431,96.9409,97.0191,91.2346,90.6582
1283.395,97.02,96.9504,90.6737,90.0776
1284.359,97.0546,96.8704,90.0005,89.3885
1285.323,97.0591,96.7717,89.2223,88.601
1286.287,97.0438,96.65,88.3604,87.7389
1287.252,97.0151,96.5076,87.4518,86.8409
1288.216,96.9764,96.3565,86.5482,85.9588
1289.18,96.9289,96.2197,85.7126,85.1539
1290.144,96.8732,96.1284,85.0126,84.4895
1291.109,96.8101,96.1151,84.512,84.0233
1292.073,96.7413,96.2056,84.2625,83.7994
1293.037,96.6696,96.41,84.2968,83.8423
1294.001,96.5979,96.7187,84.6235,84.153
1294.966,96.5281,97.1025,85.2253,84.7084
1295.93,96.4603,97.5191,86.0598,85.4633
1296.894,96.3918,97.9234,87.0652,86.3577
1297.858,96.3187,98.2774,88.1691,87.3254
1298.823,96.2369,98.5575,89.299,88.3055
1299.787,96.1443,98.7565,90.393,89.2511
1300.751,96.0417,98.8804,91.4074,90.1357
1301.715,95.9334,98.9418,92.3201,90.9536
1302.679,95.8264,98.9543,93.1292,91.7158
1303.644,95.7283,98.9281,93.8474,92.4417
1304.608,95.6459,98.8699,94.4939,93.1495
1305.572,95.5839,98.7853,95.0856,93.848
1306.536,95.5444,98.6804,95.6316,94.5318
1307.501,95.5268,98.5642,96.1304,95.1823
1308.465,95.5273,98.4472,96.5724,95.7725
1309.429,95.5397,98.3395,96.9438,96.2739
1310.393,95.5545,98.2472,97.2323,96.6639
1311.358,95.5604,98.1718,97.4301,96.9292
1312.322,95.5455,98.11,97.5341,97.0643
1313.286,95.4993,98.0568,97.5423,97.0671
1314.25,95.4149,98.0086,97.4492,96.9333
1315.214,95.2906,97.9668,97.2427,96.6518
1316.179,95.1294,97.9378,96.9047,96.2072
1317.143,94.9372,97.9321,96.4157,95.5855
1318.107,94.7197,97.9609,95.7644,94.7849
1319.071,94.48,98.0314,94.9559,93.8255
1320.036,94.2173,98.1451,94.0184,92.7543
1321,93.9274,98.2955,93.0031,91.6427
1321.964,93.6046,98.4704,91.9793,90.5784
1322.928,93.2432,98.6539,91.0261,89.6528
1323.893,92.839,98.83,90.2224,88.949
1324.857,92.3884,98.9852,89.639,88.5326
