freq,B2-1,B2-2,C
1389.46,91.7287,94.3504,98.2407
1390.425,91.9893,94.5306,98.1602
1391.389,92.1641,94.6498,98.0614
1392.353,92.2612,94.7141,97.9413
1393.317,92.2979,94.7362,97.7941
1394.282,92.2993,94.734,97.6104
1395.246,92.2956,94.7289,97.3775
1396.21,92.3174,94.742,97.0844
1397.174,92.3883,94.7894,96.7281
1398.139,92.5197,94.8786,96.3194
1399.103,92.7103,95.0083,95.8842
1400.067,92.9501,95.1713,95.4614
1401.031,93.2249,95.3573,95.0975
1401.995,93.5182,95.5544,94.8405
1402.96,93.8107,95.7491,94.7323
1403.924,94.0805,95.9262,94.8001
1404.888,94.3024,96.0684,95.0485
1405.852,94.4505,96.158,95.4561
1406.817,94.5006,96.1786,95.9792
1407.781,94.4335,96.1174,96.5605
1408.745,94.2385,95.967,97.1412
1409.709,93.9155,95.7277,97.6721
1410.674,93.4746,95.407,98.1205
1411.638,92.9342,95.0183,98.4722
1412.602,92.3162,94.5778,98.7298
1413.566,91.6421,94.1022,98.9072
1414.531,90.9318,93.6069,99.0238
1415.495,90.2057,93.1087,99.0993
1416.459,89.4915,92.629,99.1497
1417.423,88.8306,92.1983,99.1857
1418.387,88.2783,91.8547,99.2125
1419.352,87.8921,91.6354,99.2317
1420.316,87.7134,91.5647,99.2442
1421.28,87.756,91.6472,99.2519
1422.244,88.0105,91.8723,99.2574
1423.209,88.455,92.2222,99.263
1424.173,89.0643,92.6778,99.2692
1425.137,89.8093,93.2178,99.2742
1426.101,90.6525,93.8155,99.2753
1427.066,91.5447,94.4371,99.2699
1428.03,92.4281,95.0435,99.2571
1428.994,93.2458,95.5969,99.238
1429.958,93.9522,96.0684,99.2152
1430.922,94.5195,96.4413,99.1911
1431.887,94.9355,96.7092,99.1659
1432.851,95.1959,96.8705,99.1375
1433.815,95.2961,96.9228,99.1016
1434.779,95.2287,96.8615,99.0532
1435.744,94.9883,96.6836,98.9885
1436.708,94.5817,96.3946,98.9052
1437.672,94.0355,96.0136,98.8012
1438.636,93.3938,95.5716,98.6728
1439.601,92.7084,95.1044,98.5143
1440.565,92.0272,94.6449,98.3194
1441.529,91.389,94.2196,98.0852
1442.493,90.8243,93.8491,97.8173
1443.458,90.3606,93.5522,97.5332
1444.422,90.0263,93.3479,97.2651
